name	indication	catagories	synonyms
Bevacizumab	As part of combination therapy for metastatic colorectal cancer and HER2-negative metastatic breast cancer.	Angiogenesis Inhibitors****spec****	antiVEGF****spec****Avastin****spec****
Arcitumomab	For imaging colorectal tumors	Diagnostic Agents****spec****	anti-Carcinoembryonic Antigen Monoclonal Antibody Fab' Fragment****spec****IMMU-4****spec****
Cyanocobalamin	For treatment of pernicious anemia (due to lack of or inhibition of intrinsic factor) and for prevention and treatment of vitamin B 12 deficiency.	Anti-anemic Agents****spec****Vitamins****spec****Vitamin B Complex****spec****	Cyanocob(III)alamin****spec****Vitamin B12****spec****Vitamin B12 complex****spec****
Tetrahydrofolic acid	For nutritional supplementation, also for treating dietary shortage or imbalance.	Supplements****spec****Dietary Supplements****spec****Micronutrients****spec****	(6S)-Tetrahydrofolate****spec****(6S)-Tetrahydrofolic acid****spec****(6S)-THFA****spec****5,6,7,8-tetrahydrofolate****spec****5,6,7,8-tetrahydrofolic acid****spec****tetrahydrofolate****spec****Tetrahydrofolic acid****spec****THF****spec****
L-Histidine	The actions of supplemental L-histidine are entirely unclear. It may have some immunomodulatory as well as antioxidant activity. L-histidine may be indicated for use in some with rheumatoid arthritis. It is not indicated for treatment of anemia or uremia or for lowering serum cholesterol.	Supplements****spec****Conditionally Essential Amino Acids****spec****Dietary Supplements****spec****Micronutrients****spec****	(S)-4-(2-Amino-2-carboxyethyl)imidazole****spec****(S)-a-Amino-1H-imidazole-4-propanoic acid****spec****(S)-alpha-amino-1H-Imidazole-4-propanoic acid****spec****(S)-alpha-Amino-1H-imidazole-4-propionic acid****spec****(S)-α-amino-1H-Imidazole-4-propanoic acid****spec****H****spec****His****spec****Histidine****spec****L-(-)-Histidine****spec****L-(−)-histidine****spec****L-Histidin****spec****L-Histidine****spec****
S-Adenosylmethionine	S-Adenosylmethionine (SAMe) is used as a drug in Europe for the treatment of depression, liver disorders, fibromyalgia, and osteoarthritis. It has also been introduced into the United States market as a dietary supplement for the support of bone and joint health, as well as mood and emotional well being.	Supplements****spec****Dietary Supplements****spec****Micronutrients****spec****	(3S)-5'-[(3-amino-3-Carboxypropyl)methylsulfonio]-5'-deoxyadenosine, inner salt****spec****[1-(Adenin-9-yl)-1,5-dideoxy-beta-D-ribofuranos-5-yl][(3S)-3-amino-3-carboxypropyl](methyl)sulfonium****spec****Acylcarnitine****spec****AdoMet****spec****S-(5'-Deoxyadenosin-5'-yl)-L-methionine****spec****S-adenosyl-L-methionine****spec****S-Adenosylmethionine****spec****SAM****spec****SAMe****spec****
Pyruvic acid	For nutritional supplementation, also for treating dietary shortage or imbalance	Supplements****spec****Dietary Supplements****spec****Micronutrients****spec****	2-ketopropionic acid****spec****2-Oxopropanoic acid****spec****2-Oxopropansaeure****spec****2-Oxopropionsaeure****spec****a-Ketopropionic acid****spec****Acetylformic acid****spec****Acide pyruvique****spec****alpha-Ketopropionic acid****spec****alpha-Oxopropionsaeure****spec****Brenztraubensaeure****spec****BTS****spec****CH3COCOOH****spec****Pyroracemic acid****spec****Pyruvic acid****spec****α-ketopropionic acid****spec****
L-Phenylalanine	L-phenylalanine may be helpful in some with depression. It may also be useful in the treatment of vitiligo. There is some evidence that L-phenylalanine may exacerbate tardive dyskinesia in some schizophrenic patients and in some who have used neuroleptic drugs.	Supplements****spec****Dietary Supplements****spec****Amino Acids, Essential****spec****Micronutrients****spec****	(S)-2-Amino-3-phenylpropionic acid****spec****(S)-alpha-Amino-beta-phenylpropionic acid****spec****3-phenyl-L-alanine****spec****beta-Phenyl-L-alanine****spec****F****spec****L-Phenylalanine****spec****Phe****spec****PHENYLALANINE****spec****β-phenyl-L-alanine****spec****
Biotin	For nutritional supplementation, also for treating dietary shortage or imbalance.	Supplements****spec****Dietary Supplements****spec****Vitamin B Complex****spec****Micronutrients****spec****	(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid****spec****(3AS,4S,6ar)-hexahydro-2-oxo-1H-thieno[3,4-D]imidazole-4-valeric acid****spec****5-(2-Oxohexahydro-1H-thieno[3,4-D]imidazol-4-yl)pentanoic acid****spec****Biotin****spec****Biotina****spec****Biotine****spec****Biotinum****spec****cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid****spec****cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid****spec****cis-Tetrahydro-2-oxothieno(3,4-D)imidazoline-4-valeric acid****spec****Coenzyme R****spec****D-(+)-Biotin****spec****D-Biotin****spec****D(+)-Biotin****spec****Vitamin B7****spec****Vitamin H****spec****
Choline	For nutritional supplementation, also for treating dietary shortage or imbalance	Lipotropic Agents****spec****Supplements****spec****OCT2 Substrates****spec****Dietary Supplements****spec****Micronutrients****spec****Nootropic Agents****spec****	Bilineurine****spec****Choline****spec****Choline ion****spec****N-trimethylethanolamine****spec****N,N,N-trimethylethanol-ammonium****spec****trimethylethanolamine****spec****
L-Lysine	Supplemental L-lysine has putative anti-herpes simplex virus activity. There is preliminary research suggesting that it may have some anti-osteoporotic activity.	Supplements****spec****Dietary Supplements****spec****Amino Acids, Essential****spec****Micronutrients****spec****	(S)-2,6-diaminohexanoic acid****spec****(S)-lysine****spec****(S)-α,ε-diaminocaproic acid****spec****6-ammonio-L-norleucine****spec****L-lys****spec****LYS****spec****lysine acid****spec****
L-Arginine	Used for nutritional supplementation, also for treating dietary shortage or imbalance.	Supplements****spec****Conditionally Essential Amino Acids****spec****Dietary Supplements****spec****Micronutrients****spec****	(2S)-2-amino-5-(Carbamimidamido)pentanoic acid****spec****(2S)-2-amino-5-Guanidinopentanoic acid****spec****(S)-2-amino-5-guanidinopentanoic acid****spec****(S)-2-Amino-5-guanidinovaleric acid****spec****Arg****spec****Arginine****spec****L-(+)-Arginine****spec****L-Arg****spec****L-Arginin****spec****L-Arginine****spec****R****spec****
Vitamin C	Used to treat vitamin C deficiency, scurvy, delayed wound and bone healing, urine acidification, and in general as an antioxidant. It has also been suggested to be an effective antiviral agent.	Vitamins****spec****Ascorbic Acid****spec****Antioxidants****spec****Gastrointestinal Acidifying Agents****spec****	Acide ascorbique****spec****Acido ascorbico****spec****Acidum ascorbicum****spec****Acidum ascorbinicum****spec****Ascoltin****spec****Ascorbate****spec****Ascorbic Acid****spec****Ascorbicap****spec****Ascorbinsaeure****spec****e 300****spec****e-300****spec****e300****spec****L-(+)-ascorbic acid****spec****L-Ascorbate****spec****L-Ascorbic Acid****spec****Vitamin C****spec****
Spermine	For nutritional supplementation, also for treating dietary shortage or imbalance	Supplements****spec****Dietary Supplements****spec****Micronutrients****spec****	4,9-Diaza-1,12-dodecanediamine****spec****4,9-Diazadodecane-1,12-diamine****spec****N,N'-Bis(3-aminopropyl)-1,4-butanediamine****spec****Spermine****spec****
L-Aspartic Acid	There is no support for the claim that aspartates are exercise performance enhancers, i.e. ergogenic aids.	Non-Essential Amino Acids****spec****Supplements****spec****Dietary Supplements****spec****Micronutrients****spec****	(S)-2-aminobutanedioic acid****spec****(S)-2-aminosuccinic acid****spec****2-Aminosuccinic acid****spec****Asp****spec****Aspartic acid****spec****D****spec****L-Asp****spec****L-Asparaginsaeure****spec****L-Asparaginsäure****spec****L-Aspartate****spec****L-Aspartic acid****spec****
L-Ornithine	Used for nutritional supplementation, also for treating dietary shortage or imbalance. It has been claimed that ornithine improves athletic performance, has anabolic effects, has wound-healing effects, and is immuno-enhancing.	Non-Essential Amino Acids****spec****Supplements****spec****Dietary Supplements****spec****Micronutrients****spec****	(S)-2,5-Diaminopentanoate****spec****(S)-2,5-Diaminopentanoic acid****spec****(S)-2,5-diaminovaleric acid****spec****(S)-alpha,delta-Diaminovaleric acid****spec****(S)-ornithine****spec****(S)-α,δ-diaminovaleric acid****spec****L-Ornithine****spec****
L-Glutamine	Used for nutritional supplementation, also for treating dietary shortage or imbalance.	Non-Essential Amino Acids****spec****Supplements****spec****Dietary Supplements****spec****Micronutrients****spec****	(2S)-2-amino-4-carbamoylbutanoic acid****spec****(2S)-2,5-Diamino-5-oxopentanoic acid****spec****(S)-2,5-diamino-5-oxopentanoic acid****spec****Glutamic acid 5-amide****spec****Glutamic acid amide****spec****GLUTAMINE****spec****L-(+)-glutamine****spec****L-2-aminoglutaramic acid****spec****L-Glutamic acid gamma-amide****spec****L-glutamic acid γ-amide****spec****L-Glutamin****spec****L-Glutamine****spec****L-Glutaminsaeure-5-amid****spec****L-Glutaminsäure-5-amid****spec****Levoglutamide****spec****Q****spec****
Adenosine monophosphate	For nutritional supplementation, also for treating dietary shortage or imbalance	Supplements****spec****Dietary Supplements****spec****Micronutrients****spec****	5'-Adenosine monophosphate****spec****5'-Adenylic acid****spec****5'-AMP****spec****5'-O-Phosphonoadenosine****spec****Adenosine 5'-(dihydrogen phosphate)****spec****Adenosine 5'-monophosphate****spec****Adenosine 5'-phosphate****spec****ADENOSINE monophosphate****spec****Adenosine phosphate****spec****Adenosine-5'-Monophosphate****spec****Adenosine-5'-monophosphoric acid****spec****Adenosine-5'p****spec****Adenosini phosphas****spec****Adenylate****spec****Adenylic acid****spec****Ado5'p****spec****AMP****spec****Fosfato de adenosina****spec****PAdo****spec****Phosaden****spec****Phosphaden****spec****Phosphate d'adenosine****spec****
Alpha-Linolenic Acid	For nutritional supplementation and for treating dietary shortage or imbalance.	Supplements****spec****Dietary Supplements****spec****Micronutrients****spec****	(9,12,15)-linolenic acid****spec****(9Z,12Z,15Z)-Octadecatrienoic acid****spec****(Z,Z,Z)-9,12,15-octadecatrienoic acid****spec****9-cis,12-cis,15-cis-octadecatrienoic acid****spec****9,12,15-Octadecatrienoic acid****spec****ALA****spec****all-cis-9,12,15-Octadecatrienoic acid****spec****alpha-Linolenic acid****spec****cis-delta(9,12,15)-Octadecatrienoic acid****spec****cis,cis,cis-9,12,15-Octadecatrienoic acid****spec****Linolenic acid****spec****α-linolenic acid****spec****
L-Serine	Used as a natural moisturizing agent in some cosmetics and skin care products.	Non-Essential Amino Acids****spec****Supplements****spec****Dietary Supplements****spec****Micronutrients****spec****	(2S)-2-amino-3-Hydroxypropanoic acid****spec****(S)-(-)-Serine****spec****(S)-(−)-serine****spec****(S)-2-Amino-3-hydroxypropanoic acid****spec****(S)-alpha-Amino-beta-hydroxypropionic acid****spec****(S)-Serine****spec****beta-Hydroxy-L-alanine****spec****beta-Hydroxyalanine****spec****L-(-)-Serine****spec****L-(−)-serine****spec****L-2-Amino-3-hydroxypropionic acid****spec****L-3-Hydroxy-2-aminopropionic acid****spec****L-3-Hydroxy-alanine****spec****L-Ser****spec****L-Serin****spec****L-Serine****spec****S****spec****Ser****spec****Serine****spec****
L-Methionine	Used for protein synthesis including the formation of SAMe, L-homocysteine, L-cysteine, taurine, and sulfate.	Supplements****spec****Dietary Supplements****spec****Amino Acids, Essential****spec****Micronutrients****spec****	(2S)-2-amino-4-(Methylsulfanyl)butanoic acid****spec****(S)-2-amino-4-(methylthio)butanoic acid****spec****(S)-2-amino-4-(methylthio)butyric acid****spec****(S)-methionine****spec****L-(-)-Methionine****spec****L-a-Amino-g-methylthiobutyric acid****spec****L-alpha-amino-gamma-Methylmercaptobutyric acid****spec****L-Methionin****spec****L-Methionine****spec****L-α-amino-γ-methylmercaptobutyric acid****spec****M****spec****Met****spec****Methionine****spec****
